Filename,NDW.eng
ER1_OFTM_C00026_P2Y3W2,66
ER1_OFTM_C00027_P2Y3W2,88
ER1_OFTM_C00031_P2Y3W2,98
ER1_OFTM_C00048_P2Y3W2,75
ER1_OFTM_C00049_P2Y3W2,106
ER1_OFTM_C00055_P2Y3W2,69
ER1_OFTM_C00067_P2Y3W2,53
ER1_OFTM_C00077_P2Y3W2,95
ER1_OFTM_C00082_P2Y3W2,88
ER1_OFTM_C00090_P2Y3W2,80
ER1_OFTM_C00094_P2Y3W2,90
ER1_OFTM_C00119_P2Y3W2,71
ER1_OFTM_C00125_P2Y3W2,31
ER1_OFTM_C00126_P2Y3W2,75
ER1_OFTM_C00127_P2Y3W2,116
ER1_OFTM_C00135_P2Y3W2,69
ER1_OFTM_C00137_P2Y3W2,79
ER1_OFTM_C00141_P2Y3W2,77
ER1_OFTM_C00142_P2Y3W2,98
ER1_OFTM_C00146_P2Y3W2,82
ER1_OFTM_C00147_P2Y3W2,77
ER1_OFTM_C00148_P2Y3W2,61
ER1_OFTM_C00152_P2Y3W2,95
ER1_OFTM_C00167_P2Y3W2,102
ER1_OFTM_C00172_P2Y3W2,61
ER1_OFTM_C00178_P2Y3W2,99
ER1_OFTM_C00179_P2Y3W2,111
ER1_OFTM_C00182_P2Y3W2,102
ER1_OFTM_C00183_P2Y3W2,144
ER1_OFTM_C00188_P2Y3W2,112
ER1_OFTM_C00189_P2Y3W2,66
ER1_OFTM_C00191_P2Y3W2,72
ER1_OFTM_C00192_P2Y3W2,79
ER1_OFTM_C00198_P2Y3W2,92
ER1_OFTM_C00201_P2Y3W2,87
ER1_OFTM_C00209_P2Y3W2,101
ER1_OFTM_C00226_P2Y3W2,72
ER1_OFTM_C00231_P2Y3W2,127
ER1_OFTM_C00235_P2Y3W2,74
ER1_OFTM_C00237_P2Y3W2,124
ER1_OFTM_C00275_P2Y3W2,110
ER1_OFTM_C00372_P2Y3W2,111
ER1_OFTM_C00375_P2Y3W2,110
ER1_OFTM_C00376_P2Y3W2,75
ER1_OFTM_C00379_P2Y3W2,54
ER1_OFTM_C00384_P2Y3W2,50
ER1_OFTM_C00388_P2Y3W2,73
ER1_OFTM_C00392_P2Y3W2,69
ER1_OFTM_C00393_P2Y3W2,96
ER1_OFTM_C00401_P2Y3W2,114
ER1_OFTM_C00409_P2Y3W2,88
ER1_OFTM_C00423_P2Y3W2,65
ER1_OFTM_C00433_P2Y3W2,78
ER1_OFTM_C00439_P2Y3W2,68
ER1_OFTM_C00445_P2Y3W2,62
ER1_OFTM_C00466_P2Y3W2,90
ER1_OFTM_C00476_P2Y3W2,84
ER1_OFTM_C00507_P2Y3W2,114
ER1_OFTM_C00523_P2Y3W2,43
ER1_OFTM_C00552_P2Y3W2,94
ER1_OFTM_C00564_P2Y3W2,92
ER1_OFTM_C00589_P2Y3W2,90
ER1_OFTM_C00598_P2Y3W2,97
ER1_OFTM_C00600_P2Y3W2,74
ER1_OFTM_C00605_P2Y3W2,80
ER1_OFTM_C00633_P2Y3W2,72
ER1_OFTM_C00642_P2Y3W2,93
ER1_OFTM_C00652_P2Y3W2,109
ER1_OFTM_C00657_P2Y3W2,101
ER1_OFTM_C00672_P2Y3W2,103
ER1_OFTM_C00683_P2Y3W2,89
ER1_OFTM_C00692_P2Y3W2,70
ER1_OFTM_C00741_P2Y3W2,83
ER1_OFTM_C00748_P2Y3W2,63
ER1_OFTM_C00753_P2Y3W2,115
ER1_OFTM_C00790_P2Y3W2,95
ER1_OFTM_C00793_P2Y3W2,106
ER1_OFTM_C00826_P2Y3W2,60
ER1_OFTM_C00828_P2Y3W2,79
ER1_OFTM_C00837_P2Y3W2,94
ER1_OFTM_C00853_P2Y3W2,117
ER1_OFTM_C00857_P2Y3W2,73
ER1_OFTM_C00919_P2Y3W2,63
ER1_OFTM_C00931_P2Y3W2,69
ER1_OFTM_C00973_P2Y3W2,93
ER1_OFTM_C00976_P2Y3W2,79
ER1_OFTM_C00992_P2Y3W2,153
ER1_OFTM_C00999_P2Y3W2,127
ER1_OFTM_C01003_P2Y3W2,121
ER1_OFTM_C01006_P2Y3W2,79
ER1_OFTM_C01018_P2Y3W2,88
ER1_OFTM_C01031_P2Y3W2,82
ER1_OFTM_C01053_P2Y3W2,63
ER1_OFTM_C01056_P2Y3W2,78
ER1_OFTM_C01078_P2Y3W2,74
ER1_OFTM_C01094_P2Y3W2,62
ER1_OFTM_C01103_P2Y3W2,58
ER1_OFTM_C01104_P2Y3W2,92
ER1_OFTM_C01108_P2Y3W2,78
ER1_OFTM_C01121_P2Y3W2,152
ER1_OFTM_C01125_P2Y3W2,71
ER1_OFTM_C01127_P2Y3W2,51
ER1_OFTM_C01160_P2Y3W2,77
ER1_OFTM_C01162_P2Y3W2,70
ER1_OFTM_C01171_P2Y3W2,86
ER1_OFTM_C01185_P2Y3W2,64
ER1_OFTM_C01211_P2Y3W2,80
ER1_OFTM_C01222_P2Y3W2,77
ER1_OFTM_C01226_P2Y3W2,89
ER1_OFTM_C01262_P2Y3W2,66
ER1_OFTM_C01265_P2Y3W2,79
ER1_OFTM_C01294_P2Y3W2,66
ER1_OFTM_C01298_P2Y3W2,89
ER1_OFTM_C01336_P2Y3W2,127
ER1_OFTM_C02230_P2Y3W2,80
ER1_OFTM_C02232_P2Y3W2,86
ER1_OFTM_C02234_P2Y3W2,84
ER1_OFTM_C02239_P2Y3W2,58
ER1_OFTM_C02255_P2Y3W2,83
ER1_OFTM_C02262_P2Y3W2,86
ER1_OFTM_C02267_P2Y3W2,70
ER1_OFTM_C02274_P2Y3W2,92
ER1_OFTM_C02276_P2Y3W2,60
ER1_OFTM_C02277_P2Y3W2,61
ER1_OFTM_C02278_P2Y3W2,52
ER1_OFTM_C02279_P2Y3W2,85
ER1_OFTM_C02282_P2Y3W2,93
ER1_OFTM_C02287_P2Y3W2,43
ER1_OFTM_C02295_P2Y3W2,78
ER1_OFTM_C02297_P2Y3W2,84
ER1_OFTM_C02315_P2Y3W2,76
ER1_OFTM_C02325_P2Y3W2,128
ER1_OFTM_C02335_P2Y3W2,106
ER1_OFTM_C02351_P2Y3W2,85
ER1_OFTM_C02352_P2Y3W2,104
ER1_OFTM_C02356_P2Y3W2,87
ER1_OFTM_C02359_P2Y3W2,80
ER1_OFTM_C02363_P2Y3W2,97
ER1_OFTM_C02364_P2Y3W2,91
ER1_OFTM_C02365_P2Y3W2,111
ER1_OFTM_C02368_P2Y3W2,90
ER1_OFTM_C02373_P2Y3W2,90
ER1_OFTM_C02376_P2Y3W2,84
ER1_OFTM_C02378_P2Y3W2,69
ER1_OFTM_C02381_P2Y3W2,95
ER1_OFTM_C02383_P2Y3W2,106
ER1_OFTM_C02384_P2Y3W2,89
ER1_OFTM_C02386_P2Y3W2,75
ER1_OFTM_C02388_P2Y3W2,104
ER1_OFTM_C02389_P2Y3W2,112
ER1_OFTM_C02397_P2Y3W2,102
ER1_OFTM_C02415_P2Y3W2,52
ER1_OFTM_C02416_P2Y3W2,66
ER1_OFTM_C02423_P2Y3W2,85
ER1_OFTM_C02425_P2Y3W2,75
ER1_OFTM_C02426_P2Y3W2,87
ER1_OFTM_C02434_P2Y3W2,80
ER1_OFTM_C02442_P2Y3W2,115
ER1_OFTM_C02443_P2Y3W2,93
ER1_OFTM_C02448_P2Y3W2,85
ER1_OFTM_C02449_P2Y3W2,76
ER1_OFTM_C02450_P2Y3W2,138
ER1_OFTM_C02475_P2Y3W2,111
ER1_OFTM_C02476_P2Y3W2,93
ER1_OFTM_C02478_P2Y3W2,128
ER1_OFTM_C02479_P2Y3W2,86
ER1_OFTM_C02481_P2Y3W2,94
ER1_OFTM_C02482_P2Y3W2,108
ER1_OFTM_C02483_P2Y3W2,54
ER1_OFTM_C02484_P2Y3W2,69
ER1_OFTM_C02488_P2Y3W2,82
ER1_OFTM_C02489_P2Y3W2,74
ER1_OFTM_C02492_P2Y3W2,70
ER1_OFTM_C02493_P2Y3W2,97
ER1_OFTM_C02496_P2Y3W2,88
ER1_OFTM_C02498_P2Y3W2,76
ER1_OFTM_C02502_P2Y3W2,55
ER1_OFTM_C02503_P2Y3W2,62
ER1_OFTM_C02506_P2Y3W2,85
ER1_OFTM_C02507_P2Y3W2,111
ER1_OFTM_C02551_P2Y3W2,111
ER1_OFTM_C02552_P2Y3W2,63
ER1_OFTM_C02576_P2Y3W2,90
ER1_OFTM_C02579_P2Y3W2,97
ER1_OFTM_C02588_P2Y3W2,70
ER1_OFTM_C02594_P2Y3W2,124
ER1_OFTM_C02596_P2Y3W2,70
ER1_OFTM_C02599_P2Y3W2,74
ER1_OFTM_C02619_P2Y3W2,90
ER1_OFTM_C02626_P2Y3W2,49
ER1_OFTM_C02637_P2Y3W2,83
ER1_OFTM_C02640_P2Y3W2,96
ER1_OFTM_C02645_P2Y3W2,58
ER1_OFTM_C02647_P2Y3W2,98
ER1_OFTM_C02651_P2Y3W2,87
ER1_OFTM_C02661_P2Y3W2,122
ER1_OFTM_C02663_P2Y3W2,75
ER1_OFTM_C02808_P2Y3W2,73
ER1_OFTM_C02834_P2Y3W2,72
ER1_OFTM_C03008_P2Y3W2,81
ER1_OFTM_C03012_P2Y3W2,81
ER2_FGTD_C00015_P2Y4W2,100
ER2_FGTD_C00020_P2Y4W2,115
ER2_FGTD_C00026_P2Y4W2,100
ER2_FGTD_C00027_P2Y4W2,104
ER2_FGTD_C00031_P2Y4W2,110
ER2_FGTD_C00048_P2Y4W2,88
ER2_FGTD_C00049_P2Y4W2,141
ER2_FGTD_C00055_P2Y4W2,102
ER2_FGTD_C00067_P2Y4W2,105
ER2_FGTD_C00077_P2Y4W2,104
ER2_FGTD_C00082_P2Y4W2,111
ER2_FGTD_C00090_P2Y4W2,96
ER2_FGTD_C00094_P2Y4W2,123
ER2_FGTD_C00119_P2Y4W2,112
ER2_FGTD_C00126_P2Y4W2,102
ER2_FGTD_C00127_P2Y4W2,151
ER2_FGTD_C00135_P2Y4W2,102
ER2_FGTD_C00137_P2Y4W2,122
ER2_FGTD_C00141_P2Y4W2,92
ER2_FGTD_C00146_P2Y4W2,116
ER2_FGTD_C00147_P2Y4W2,123
ER2_FGTD_C00148_P2Y4W2,104
ER2_FGTD_C00152_P2Y4W2,142
ER2_FGTD_C00172_P2Y4W2,101
ER2_FGTD_C00178_P2Y4W2,129
ER2_FGTD_C00179_P2Y4W2,135
ER2_FGTD_C00182_P2Y4W2,90
ER2_FGTD_C00183_P2Y4W2,167
ER2_FGTD_C00188_P2Y4W2,93
ER2_FGTD_C00189_P2Y4W2,78
ER2_FGTD_C00191_P2Y4W2,100
ER2_FGTD_C00192_P2Y4W2,72
ER2_FGTD_C00198_P2Y4W2,123
ER2_FGTD_C00201_P2Y4W2,81
